corp_code,rcept_no,2024_total_assets,2023_total_assets,2022_total_assets
00600013,,,,
00435297,,,,
00173944,20250313001154,276510432217,240301076155,227053375662
00109286,20250318001356,2132627316122,1956376110942,1713773205581
00129350,20250313000953,328114248167,308031065017,287453832625
00144252,20250320001552,305473764776,382846276957,376111723330
00303217,20250321000814,329391197188,318384839252,285245048447
01036446,20250331003613,2953841527430,2357850900807,1930332276171
00112970,20250313001407,185398515032,180718514592,210639557874
00129554,20250320001142,69828890819,90043246014,57863011528
00163691,20250321001882,478715425251,514472137701,524926064872
00260392,20250313000035,226992976377,234871662225,245958532474
00153524,20250327000507,711994053000,715955958000,651217775000
00105156,20250320001025,478555021568,430015236625,353076046774
00146649,20250328001256,1967342079451,1664779334525,1586114519184
00148443,20250317000710,890432937697,879996990707,865677012176
00148939,20250814000431,618763750169,504500385670,442034875881
01234297,20250312000902,512101745784,461187881064,475733780981
00166272,20250321001555,1288499141437,1154543398411,1177218098360
00143794,20250321000993,185004142765,174969478824,169931826485
00860730,20250314000900,82884263423,82285456068,89680360097
00145260,20250317000659,655469570993,678951066652,653136152620
00118965,20250319001022,454354334361,402977300428,371353957512
00687711,20250320001288,899069317215,972464324884,948549497436
01394377,20241121000504,520480441607,579101258437,560953885769
00118008,20240619000177,478904741185,487867520934,456870590279
00132354,20250317000970,1369865450719,1248108717577,1149528707692
00159254,20250319001004,517879873727,503113632386,469100261248
00168401,20241219000451,282769620563,296341107251,307313894364
00648721,20250220001320,516608191578,423163460482,429772701838
00136341,20240919000331,1162642752327,1068743768230,1022207108798
01532603,20250321001314,469867845903,430773739630,422569200239
00107224,20250320001238,404717544888,432707600573,401195143871
01415892,20250321001699,2146506925558,2124785872377,2056286188750
00111458,20250320001314,225080501521,221137778791,247356883299
00218575,20250318001129,522556270523,513527276106,481912631966
00134316,20250808000388,725562845976,674081857072,628831844307
00103042,20250313001313,762617949986,662097622202,630078626843
00120872,20250805000299,204811085193,256575339407,258305672651
01267684,20250331004301,1381577133923,1138110386834,1016960290726
00104698,20250325000971,9601505118160,1309219122467,1300442455061
00122348,20241219000406,231627131187,243460571984,265220043723
00135777,20250320001290,875922548735,876212192768,884529889834
00127200,20250320001464,557296058316,544042879787,543607709814
00147222,20250320000970,231974001581,236979137636,304781348634
00145464,20250320000112,329008589068,313891617603,337212432145
00109161,20250318000825,184309192873,182882306558,167391898805
00101628,20250320001362,1214347475924,1206860950940,1248318313535
00823429,20250320001323,57902458105,48624288729,43913329550
00174004,20250317000557,437508359877,439604034118,427046002236
00123107,20250321000822,59282151485,57928435922,60912251547
00220561,20250313000495,1228084126118,934472863572,913454051041
00165343,20250804000178,262939817516,253960586979,240522145627
00159218,20250514000974,1690214811558,1597333550834,1562022195345
00101220,20250320001653,8160948249649,7818802674413,7076647392734
00152686,20250320001351,1255382149192,1236457010706,1293448547101
00162993,20250318001319,3709018734699,3559790251287,3268041346024
00124027,20250320000250,335401253997,278200798954,134678926321
00145686,20250320000337,269760591981,265952518844,268217246459
00332927,20250317000998,1830513946593,828362721870,533768141172
00398792,20250220001279,1241825709210,1211181269340,1225486689781
00148920,20250811000086,391890614962,382807997446,386108212060
01437292,20250220001436,302492164214,304265746997,292039569276
00136864,20250328001269,628902089244,545009762942,510124893723
00137809,20250318000112,81970747264,84766158128,88291972478
00136457,20250320000777,110375913378,120793105133,124160292131
